title,price,rating,reviews,availability,image_url
F1 24 | Standard Edition | PlayStation 4,,Previous page,,"This item will be released on May 31, 2024.",https://m.media-amazon.com/images/I/51rVX4HWQBL._SX300_SY300_QL70_ML2_.jpg
Sony PS4 Slim 500 GB Console,,3.3 out of 5 stars,68 ratings,Only 1 left in stock.,https://m.media-amazon.com/images/I/41Pz4PnZhzL._SY300_SX300_QL70_ML2_.jpg
PS4 1TB slim/Horizon Zero Dawn CE/GT Sport II/Ratchet &Clank/PS+3M,,4.0 out of 5 stars,295 ratings,Only 1 left in stock.,https://m.media-amazon.com/images/I/51T3HrOrKOL._SY300_SX300_QL70_ML2_.jpg
Sony PS4 Pro 1TB Console (Black),,4.2 out of 5 stars,360 ratings,Only 1 left in stock.,https://m.media-amazon.com/images/I/41U1z70fi-L._SY300_SX300_QL70_ML2_.jpg
Cloud Infotech Ps-4 Dual Shock 4 Wireless Slim Controller/Wireless ps-4 Remote Controller for Playstation 4 Pro | Android | ps-4 FAT | PC | IOS | ps-4 Slim (Cammo green),,3.3 out of 5 stars,4 ratings,In stock,https://m.media-amazon.com/images/I/41kqKl0LzCL._SY300_SX300_QL70_ML2_.jpg
"Dobe PS4/PS4 Slim/PS4 Pro Multifunctional Vertical Stand Cooling Fan Stand, Playstation 4 Controller Charger with LED Indicators, Charging Dock Station with 12PCS Games Storage.",,3.9 out of 5 stars,254 ratings,In stock,https://m.media-amazon.com/images/I/415A7-3jA8L._SX300_SY300_QL70_ML2_.jpg
Bandai Tekken 7 PS4 - PlayStation 4 Standard Edition (PS4),,4.3 out of 5 stars,"3,379 ratings",In stock,https://m.media-amazon.com/images/I/51qBFf5oy2L._SX300_SY300_QL70_ML2_.jpg
Cricket 24 | Standard Edition | PlayStation 4,,3.8 out of 5 stars,38 ratings,In stock,https://m.media-amazon.com/images/I/51vGORmuZvL._SX300_SY300_QL70_ML2_.jpg
WWE 2K24 | Standard Edition | PlayStation 4,,4.3 out of 5 stars,14 ratings,In stock,https://m.media-amazon.com/images/I/51APJkflxiL._SX300_SY300_QL70_ML2_.jpg
Grand Theft Auto V - Premium Edition (PS4),,4.4 out of 5 stars,"2,947 ratings",Available to ship in 1-2 days,https://m.media-amazon.com/images/I/513QfJgiU9L._SX300_SY300_QL70_ML2_.jpg
"Radiraga Controller Paddles for PS4, Customization 10 Key Mappings Back Button Attachment, Plug & Play, Support for Turbo Burst, Programmable Buttons",,1.0 out of 5 stars,1 rating,In stock,https://m.media-amazon.com/images/I/315b0jBo0WL._SY300_SX300_QL70_ML2_.jpg
GeekShare Cat Paw PS4 Controller Skin Anti-Slip Silicone Skin Protective Cover Case for Playstation 4 DualSense Wireless Controller (Blue),,4.6 out of 5 stars,93 ratings,In stock,https://m.media-amazon.com/images/I/41Y1mbZkXyL._SX300_SY300_QL70_ML2_.jpg
Generic For Playstation 4 Slim Console Ps4 Slim 2 In 1 Vertical Stand W/ Cooling Fan Charger Charging Station W/ Dual Charger Ports Usb Tabletop,,4.2 out of 5 stars,8 ratings,In stock,https://m.media-amazon.com/images/I/41y4cwBZdaL._SX300_SY300_QL70_ML2_.jpg
"Playstation Sony Dualshock 4 Version 2 Controller (Eu) For Ps4, Green Camouflage",,4.6 out of 5 stars,"14,932 ratings",Only 1 left in stock.,https://m.media-amazon.com/images/I/41ypFrTbbgL._SX300_SY300_QL70_ML2_.jpg
Uncharted Collection Hits (PS4),,4.6 out of 5 stars,"2,699 ratings",In stock,https://m.media-amazon.com/images/I/514wpuxiLEL._SX300_SY300_QL70_ML2_.jpg
controller Compatible PS4 Dualshock 4 Auxiliary Wireless For PS4 Remote For Playstation 4 Pro / PS4 Slim / PS4 FAT / PC / Android / IOS - Black,,3.4 out of 5 stars,138 ratings,In stock,https://m.media-amazon.com/images/I/41vNIu0n8cL._SX300_SY300_QL70_ML2_.jpg
Sony Marvel's Spider-Man: Miles Morales (PS4),,4.5 out of 5 stars,"3,482 ratings",In stock,https://m.media-amazon.com/images/I/51SAgfYlFOL._SX300_SY300_QL70_ML2_.jpg
Sony PS4 Minecraft Bedrock Ed. (PS4),,4.3 out of 5 stars,"1,302 ratings",In stock,https://m.media-amazon.com/images/I/51mqJ2xVsML._SX300_SY300_QL70_ML2_.jpg
Sony Horizon Forbidden West | Standard Edition | PS4 Game (PlayStation 4),,4.7 out of 5 stars,633 ratings,In stock,https://m.media-amazon.com/images/I/51i7jqGvERL._SX300_SY300_QL70_ML2_.jpg
New World Latest Protective Silicon Cover Case for PS4 Playstation 4 Controller Anti Slip Cover Theme-,,3.0 out of 5 stars,4 ratings,Only 1 left in stock.,https://m.media-amazon.com/images/I/41DieRb+qYS._SX300_SY300_.jpg
"Gaming Headset for PS4 Xbox 1,Over-Ear Heavy Bass Noise Cancelling Headphone with Retractable,PC-Wired Headphones with Microphone-3.5mm Computer Headset for Laptop",,2.6 out of 5 stars,4 ratings,In stock,https://m.media-amazon.com/images/I/41zDKCu-lPL._SX300_SY300_QL70_ML2_.jpg
"GAMENOPHOBIA Wireless Controller Gamepad for Playstation 4 Console, Wireless Controller with Somatosensory Vibration Six-axis Burst Function",,3.7 out of 5 stars,22 ratings,Only 1 left in stock.,https://m.media-amazon.com/images/I/31xsYiVfwrL._SX300_SY300_QL70_ML2_.jpg
